Model,MDO4104C
Firmware Version,1.10

Waveform Type,ANALOG
Point Format,Y
Horizontal Units,s
Horizontal Scale,0.001
Horizontal Delay,0
Sample Interval,1e-06
Record Length,10000
Gating,0.0% to 100.0%
Probe Attenuation,1
Vertical Units,V
Vertical Offset,12.2192
Vertical Scale,0.001
Vertical Position,5
,
,
,
Label,
TIME,CH1
-5.000e-03,12.2132
-4.999e-03,12.2132
-4.998e-03,12.2133
-4.997e-03,12.2129
-4.996e-03,12.2131
-4.995e-03,12.2131
-4.994e-03,12.213
-4.993e-03,12.2132
-4.992e-03,12.2129
-4.991e-03,12.2132
-4.990e-03,12.2132
-4.989e-03,12.2132
-4.988e-03,12.2133
-4.987e-03,12.2133
-4.986e-03,12.2134
-4.985e-03,12.2133
-4.984e-03,12.2132
-4.983e-03,12.2132
-4.982e-03,12.2132
-4.981e-03,12.2132
-4.980e-03,12.2134
-4.979e-03,12.2132
-4.978e-03,12.2134
-4.977e-03,12.2131
-4.976e-03,12.2134
-4.975e-03,12.2133
-4.974e-03,12.2133
-4.973e-03,12.2133
-4.972e-03,12.2134
-4.971e-03,12.2129
-4.970e-03,12.2133
-4.969e-03,12.213
-4.968e-03,12.2132
-4.967e-03,12.2131
-4.966e-03,12.2132
-4.965e-03,12.2132
-4.964e-03,12.2131
-4.963e-03,12.213
-4.962e-03,12.213
-4.961e-03,12.2132
-4.960e-03,12.213
-4.959e-03,12.213
-4.958e-03,12.2131
-4.957e-03,12.2132
-4.956e-03,12.2129
-4.955e-03,12.2134
-4.954e-03,12.213
-4.953e-03,12.2132
-4.952e-03,12.2133
-4.951e-03,12.2131
-4.950e-03,12.2132
-4.949e-03,12.2133
-4.948e-03,12.2132
-4.947e-03,12.2133
-4.946e-03,12.2134
-4.945e-03,12.2134
-4.944e-03,12.2131
-4.943e-03,12.2132
-4.942e-03,12.213
-4.941e-03,12.2133
-4.940e-03,12.2131
-4.939e-03,12.2132
-4.938e-03,12.2132
-4.937e-03,12.2132
-4.936e-03,12.2132
-4.935e-03,12.2133
-4.934e-03,12.2133
-4.933e-03,12.2132
-4.932e-03,12.2132
-4.931e-03,12.2132
-4.930e-03,12.2133
-4.929e-03,12.2131
-4.928e-03,12.2131
-4.927e-03,12.2131
-4.926e-03,12.2132
-4.925e-03,12.2132
-4.924e-03,12.2131
-4.923e-03,12.2134
-4.922e-03,12.2132
-4.921e-03,12.2134
-4.920e-03,12.2134
-4.919e-03,12.2133
-4.918e-03,12.2132
-4.917e-03,12.2135
-4.916e-03,12.2131
-4.915e-03,12.2134
-4.914e-03,12.2132
-4.913e-03,12.2134
-4.912e-03,12.2132
-4.911e-03,12.2136
-4.910e-03,12.2132
-4.909e-03,12.2135
-4.908e-03,12.2134
-4.907e-03,12.2135
-4.906e-03,12.2131
-4.905e-03,12.2132
-4.904e-03,12.2129
-4.903e-03,12.2133
-4.902e-03,12.2132
-4.901e-03,12.2133
-4.900e-03,12.2135
-4.899e-03,12.2134
-4.898e-03,12.2134
-4.897e-03,12.2134
-4.896e-03,12.2135
