"ID";"Bezeichner";"Gehäuse";"Stückzahl";"Bezeichnung";"Anbieter und Ref.";
1;"TP10";"Measurement_Point_Round-SMD-Pad_Small";1;"VB";;;
2;"TP11";"Measurement_Point_Round-TH_Big";1;"V1";;;
3;"U1";"SOT-23-6";1;"LTC1983";;;
4;"C3,C2,C5";"C_1210";3;"10uF";;;
5;"R4,R3";"R_0402";2;"20k";;;
6;"C7,C4,C10,C11";"C_0805";4;"100nF";;;
7;"U2";"TSSOP-16-1EP_4.4x5mm_Pitch0.65mm";1;"AD5697R_TSSOP";;;
8;"L4,L1,L2,L3,L5";"L_0603";5;"?nH";;;
9;"C1,C6";"C_0603";2;"1uF";;;
10;"R1,R2";"R_0402";2;"10k";;;
11;"U3";"MSOP-8_3x3mm_Pitch0.65mm";1;"ADA4896";;;
12;"TP1";"Measurement_Point_Round-SMD-Pad_Small";1;"5Vin";;;
13;"TP4";"Measurement_Point_Round-SMD-Pad_Small";1;"GND";;;
14;"TP5";"Measurement_Point_Round-SMD-Pad_Small";1;"SCL";;;
15;"TP6";"Measurement_Point_Round-SMD-Pad_Small";1;"SDA";;;
16;"TP7";"Measurement_Point_Round-SMD-Pad_Small";1;"VSS";;;
17;"TP8";"Measurement_Point_Round-SMD-Pad_Small";1;"Vref";;;
18;"TP9";"Measurement_Point_Round-SMD-Pad_Small";1;"VA";;;
19;"TP2,TP3";"Measurement_Point_Round-TH_Big";2;"GND";;;
20;"TP12";"Measurement_Point_Round-TH_Big";1;"V2";;;
21;"TP13";"Measurement_Point_Round-TH_Big";1;"I";;;
22;"TP14";"Measurement_Point_Round-SMD-Pad_Small";1;"5V";;;
23;"C8,C9";"C_1210";2;"22uF";;;
24;"C12,C13";"C_0805";2;"10nF";;;
25;"D1";"LED_0805";1;"LED";;;
26;"R5";"R_0402";1;"5k";;;
27;"R6,R7";"R_0402";2;"100";;;
28;"R8,R9,R10,R11,R12,R13";"R_0402";6;"0";;;
29;"J1";"Pin_Header_Straight_1x04_Pitch2.54mm";1;"CONN_01X04_MALE";;;
